2024-04-03 19:38:19.651 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:roundRobin, valeu:org.bailu.rpc.router.RoundRobinStrategy
2024-04-03 19:38:19.652 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:logFilter, valeu:org.bailu.rpc.filter.client.ClientLogFilter
2024-04-03 19:38:19.749 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2024-04-03 19:38:19.752 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2024-04-03 19:38:19.752 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-04-03 19:38:19.752 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
2024-04-03 19:38:19.790 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-03 19:38:19.791 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 499 ms
2024-04-03 19:38:19.812 [main] INFO  org.bailu.rpc.filter.client.ClientLogFilter - test field:testService注入成功
2024-04-03 19:38:19.812 [main] INFO  org.bailu.rpc.filter.client.ClientLogFilter - test field:test2Service注入成功
2024-04-03 19:38:20.761 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2024-04-03 19:38:20.766 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
